,club,year,gp,g,a,shts,sog,fc,fs,off,ck,pkg,pka
0,MetroStars,1996.0,32,45,43,419,203,430,452,118,172,2,4
1,Kansas City Wizards,1996.0,32,61,59,514,250,412,404,94,144,7,8
2,Colorado Rapids,1996.0,32,44,41,435,201,394,389,105,192,3,3
3,Columbus Crew,1996.0,32,59,53,406,202,415,520,99,170,6,7
4,New England Revolution,1996.0,32,43,42,383,174,514,436,117,130,6,7
5,San Jose Clash,1996.0,32,50,54,420,209,515,485,137,180,3,3
6,Los Angeles Galaxy,1996.0,32,59,46,442,221,461,415,94,187,4,6
7,D.C. United,1996.0,32,62,65,436,223,417,403,89,194,4,4
8,Tampa Bay Mutiny,1996.0,32,66,60,377,185,449,410,147,140,6,6
9,Dallas Burn,1996.0,32,50,42,411,224,425,472,98,152,3,3
10,MetroStars,1997.0,32,43,54,388,174,440,503,105,121,1,4
11,Kansas City Wizards,1997.0,32,57,64,410,222,481,407,117,156,3,6
12,Colorado Rapids,1997.0,32,50,63,433,185,475,426,126,169,4,5
13,Columbus Crew,1997.0,32,42,55,452,180,439,484,108,167,3,5
14,New England Revolution,1997.0,32,40,35,399,196,534,455,105,179,3,5
15,San Jose Clash,1997.0,32,55,78,423,206,458,463,144,172,2,3
16,Los Angeles Galaxy,1997.0,32,55,55,480,234,464,464,124,164,4,4
17,D.C. United,1997.0,32,70,88,432,239,397,423,149,187,8,9
18,Tampa Bay Mutiny,1997.0,32,55,70,399,189,417,489,138,132,1,3
19,Dallas Burn,1997.0,32,55,58,431,230,478,465,125,155,8,10
20,MetroStars,1998.0,32,54,75,497,212,453,446,97,149,2,6
21,Kansas City Wizards,1998.0,32,45,53,442,201,466,435,88,165,3,6
22,Colorado Rapids,1998.0,32,62,80,507,225,397,415,114,153,2,4
23,Columbus Crew,1998.0,32,67,90,504,199,456,503,98,188,3,4
24,New England Revolution,1998.0,32,53,66,468,205,521,369,111,187,3,4
25,San Jose Clash,1998.0,32,48,61,442,211,479,468,119,196,2,3
26,Chicago Fire,1998.0,32,62,86,487,219,436,462,103,176,4,4
27,Los Angeles Galaxy,1998.0,32,85,104,440,231,464,378,105,160,4,6
28,D.C. United,1998.0,32,74,74,505,248,453,413,99,249,7,9
29,Tampa Bay Mutiny,1998.0,32,46,68,435,174,385,413,135,157,1,2
30,Dallas Burn,1998.0,32,43,46,431,189,433,383,83,182,1,3
31,Miami Fusion,1998.0,32,46,64,384,176,459,447,117,180,4,5
32,MetroStars,1999.0,32,32,41,522,191,398,419,96,207,3,5
33,Kansas City Wizards,1999.0,32,33,47,439,169,420,428,74,168,2,3
34,Colorado Rapids,1999.0,32,38,52,397,147,493,458,113,156,3,5
35,Columbus Crew,1999.0,32,48,65,456,199,474,471,115,162,1,2
36,New England Revolution,1999.0,32,38,43,393,194,504,428,95,168,2,3
37,San Jose Clash,1999.0,32,48,67,382,176,510,412,82,142,1,1
38,Chicago Fire,1999.0,32,51,63,448,201,495,450,98,178,3,5
39,Los Angeles Galaxy,1999.0,32,49,69,424,185,457,425,115,178,1,4
40,D.C. United,1999.0,32,65,91,440,204,505,480,90,214,3,4
41,Tampa Bay Mutiny,1999.0,32,51,78,450,186,377,430,84,157,2,3
42,Dallas Burn,1999.0,32,54,66,413,205,448,446,115,159,2,3
43,Miami Fusion,1999.0,32,42,56,417,181,482,447,111,203,2,3
44,MetroStars,2000.0,32,64,72,437,207,593,520,108,137,9,10
45,Kansas City Wizards,2000.0,32,47,67,452,175,503,541,96,151,0,0
46,Colorado Rapids,2000.0,32,43,57,482,196,581,526,116,173,4,7
47,Columbus Crew,2000.0,32,48,57,429,184,498,543,78,176,3,3
48,New England Revolution,2000.0,32,47,50,441,209,569,526,109,173,5,6
49,San Jose Earthquakes,2000.0,32,35,41,412,192,527,473,113,170,5,5
50,Chicago Fire,2000.0,32,67,85,488,230,545,564,75,182,5,10
