,club,year,gp,g,a,shts,sog,fc,fs,off,ck,pkg,pka
1,New York Red Bulls,2012.0,34,57,56,394,153,410,351,77,148,3,3
2,Sporting Kansas City,2012.0,34,42,47,542,158,456,414,54,199,3,4
3,Colorado Rapids,2012.0,34,44,41,459,162,415,426,62,145,3,4
4,Columbus Crew,2012.0,34,44,39,466,151,412,393,111,149,2,3
5,New England Revolution,2012.0,34,39,31,455,178,360,483,68,154,2,2
6,San Jose Earthquakes,2012.0,34,72,73,517,192,440,410,91,185,6,8
7,Chicago Fire,2012.0,34,46,39,460,163,349,421,75,158,2,3
8,LA Galaxy,2012.0,34,59,61,480,179,421,391,67,188,3,4
9,D.C. United,2012.0,34,53,52,451,163,390,390,106,157,1,2
10,Portland Timbers,2012.0,34,34,28,421,133,388,403,86,172,0,0
11,Montreal Impact,2012.0,34,45,43,443,156,427,417,114,143,9,9
12,Vancouver Whitecaps FC,2012.0,34,35,35,355,116,481,510,91,139,1,1
13,Houston Dynamo,2012.0,34,48,48,424,157,372,377,81,136,6,7
14,Real Salt Lake,2012.0,34,46,43,417,151,444,390,90,146,4,4
15,FC Dallas,2012.0,34,42,33,403,140,420,504,72,160,2,5
16,Toronto FC,2012.0,34,36,41,419,140,428,358,76,172,0,2
17,Chivas USA,2012.0,34,24,28,397,120,424,431,56,179,3,3
18,Seattle Sounders FC,2012.0,34,51,52,439,141,442,438,80,158,2,2
19,Philadelphia Union,2012.0,34,37,23,377,112,464,435,93,172,5,6
